"Opcodes";"Fields";"Description"
"cpuprc";"[cpuprc] insnum, ipercent";"allocation of cpu resources on a per-instrument basis, to optimize realtime output."
"cross2";"ares [cross2] ain1, ain2, isize, ioverlap, iwin, kbias";"synthesis using FFT's."
"crunch";"ares [crunch] iamp, idettack [, inum] [, idamp] [, imaxshake]";"model of a crunch sound."
"ctlchn";"(Syntax not available)";"(Description not available)"
"ctrl14";"idest [ctrl14] ichan, ictlno1, ictlno2, imin, imax [, ifn]";"a floating-point 14-bit MIDI signal scaled with a minimum and a maximum range."
"ctrl21";"idest [ctrl21] ichan, ictlno1, ictlno2, ictlno3, imin, imax [, ifn]";"a floating-point 21-bit MIDI signal scaled with a minimum and a maximum range."
"ctrl7";"idest [ctrl7] ichan, ictlno, imin, imax [, ifn]";"a floating-point 7-bit MIDI signal scaled with a minimum and a maximum range."
"ctrlinit";"[ctrlinit] ichnl, ictlno1, ival1 [, ictlno2] [, ival2] [, ictlno3] [, ival3] [,...ival32]";"the initial values for a set of MIDI controllers."
"cuserrnd";"aout [cuserrnd] kmin, kmax, ktableNum";"USER-defined-distribution RaNDom generator."
"dam";"ares [dam] asig, kthreshold, icomp1, icomp2, irtime, iftime";"dynamic compressor/expander."
"date";"ir [date]";"the number seconds since 1 January 1970."
"dates";"Sir [dates] [ itime]";"as a string the date and time specified."
"db";"[db](x)";"the amplitude equivalent for a given decibel amount."
"dbamp";"[dbamp](x)(init-rate or control-rate args only)";"the decibel equivalent of the raw amplitude x."
"dbfsamp";"[dbfsamp](x)(init-rate or control-rate args only)";"the decibel equivalent of the raw amplitude x, relative to full scale amplitude."
"dcblock";"ares [dcblock] ain [, igain]";"DC blocking filter."
"dconv";"ares [dconv] asig, isize, ifn";"direct convolution opcode."
"delay";"ares [delay] asig, idlt [, iskip]";"an input signal by some time interval."
"delay1";"ares [delay1] asig [, iskip]";"an input signal by one sample."
"delayk";"kr [delayk ]ksig, idel[, imode]";"an input signal by some time interval."
"delayr";"ares [delayr] idlt [, iskip]";"from an automatically established digital delay line."
"delayw";"[delayw] asig";"the audio signal to a digital delay line."
"deltap";"ares [deltap] kdlt";"a delay line at variable offset times."
"deltap3";"ares [deltap3] xdlt";"a delay line at variable offset times, uses cubic interpolation."
"deltapi";"ares [deltapi] xdlt";"a delay line at variable offset times, uses interpolation."
"deltapn";"ares [deltapn] xnumsamps";"a delay line at variable offset times."
"deltapx";"aout [deltapx] adel, iwsize";"to or write from a delay line with interpolation."
"deltapxw";"[deltapxw] ain, adel, iwsize";"the input signal to a delay line."
"denorm";"[denorm] a1[, a2[, a3[, ... ]]]";"low level noise to a list of a-rate signals"
"diff";"ares [diff] asig [, iskip]";"a signal by differentiation."
"diskin";"ar1 [, ar2 [, ar3 [, ... ar24]]] [diskin] ifilcod, kpitch [, iskiptim] [, iwraparound] [, iformat] [, iskipinit]";"audio data from an external device or stream and can alter its pitch."
"diskin2";"a1[, a2[, ... a24]] [diskin2] ifilcod, kpitch[, iskiptim [, iwrap[, iformat [, iwsize[, ibufsize[, iskipinit]]]]]]";"audio data from a file, and can alter its pitch using one of severalavailable interpolation types, as well as convert the sample rate to matchthe orchestra sr setting."
"dispfft";"[dispfft] xsig, iprd, iwsiz [, iwtyp] [, idbout] [, iwtflg]";"the Fourier Transform of an audio or control signal."
"display";"[display] xsig, iprd [, inprds] [, iwtflg]";"the audio or control signals as an amplitude vs. time graph."
"distort";"ar [distort] asig, kdist, ifn[, ihp, istor]";"an audio signal via waveshaping and optional clipping."
"distort1";"ares [distort1] asig, kpregain, kpostgain, kshape1, kshape2[, imode]";"hyperbolic tangent distortion."
"div";"(Syntax not available)";"(Description not available)"
"divz";"ares [divz] xa, xb, ksubst";"Safely divides two numbers."
"downsamp";"kres [downsamp] asig [, iwlen]";"a signal by down-sampling."
"dripwater";"ares [dripwater] kamp, idettack [, inum] [, idamp] [, imaxshake] [, ifreq] [, ifreq1] [, ifreq2]";"model of a water drop."
"DsCommitDeferredSettings";"(Syntax not available)";"(Description not available)"
"DsCommitDeferredSettings_i";"(Syntax not available)";"(Description not available)"
"DsConeAngles";"(Syntax not available)";"(Description not available)"
"DsConeAngles_i";"(Syntax not available)";"(Description not available)"
"DsConeOrientation";"(Syntax not available)";"(Description not available)"
"DsConeOrientation_i";"(Syntax not available)";"(Description not available)"
"DsConeOutsideVolume";"(Syntax not available)";"(Description not available)"
"DsConeOutsideVolume_i";"(Syntax not available)";"(Description not available)"
"DsEaxSetDeferredFlag";"(Syntax not available)";"(Description not available)"
"DsListenerDistanceFactor";"(Syntax not available)";"(Description not available)"
"DsListenerDistanceFactor_i";"(Syntax not available)";"(Description not available)"
"DsListenerOrientation";"(Syntax not available)";"(Description not available)"
"DsListenerOrientation_i";"(Syntax not available)";"(Description not available)"
"DsListenerPosition";"(Syntax not available)";"(Description not available)"
"DsListenerPosition_i";"(Syntax not available)";"(Description not available)"
"DsListenerRolloffFactor";"(Syntax not available)";"(Description not available)"
"DsListenerRolloffFactor_i";"(Syntax not available)";"(Description not available)"
"DsListenerSetAll";"(Syntax not available)";"(Description not available)"
"DsListenerSetAll_i";"(Syntax not available)";"(Description not available)"
"DsMaxDistance";"(Syntax not available)";"(Description not available)"
"DsMaxDistance_i";"(Syntax not available)";"(Description not available)"
"DsMinDistance";"(Syntax not available)";"(Description not available)"
"DsMinDistance_i";"(Syntax not available)";"(Description not available)"
"DsMode";"(Syntax not available)";"(Description not available)"
"DsMode_i";"(Syntax not available)";"(Description not available)"
"DsPosition";"(Syntax not available)";"(Description not available)"
"DsPosition_i";"(Syntax not available)";"(Description not available)"
"DsSetAll";"(Syntax not available)";"(Description not available)"
"DsSetAll_i";"(Syntax not available)";"(Description not available)"
"dumpk";"[dumpk]ksig, ifilname, iformat, iprd";"writes an orchestra control-signal value to an external file."
"dumpk2";"[dumpk2] ksig1, ksig2, ifilname, iformat, iprd";"writes two orchestra control-signal values to an external file."
"dumpk3";"[dumpk3] ksig1, ksig2, ksig3, ifilname, iformat, iprd";"writes three orchestra control-signal values to an external file."
"dumpk4";"[dumpk4] ksig1, ksig2, ksig3, ksig4, ifilname, iformat, iprd";"writes four orchestra control-signal values to an external file."
"duserrnd";"aout [duserrnd] ktableNum";"USER-defined-distribution RaNDom generator."
"EaxListenerAirAbsorption";"(Syntax not available)";"(Description not available)"
"EaxListenerAirAbsorption_i";"(Syntax not available)";"(Description not available)"
"EaxListenerAll";"(Syntax not available)";"(Description not available)"
"EaxListenerAll_i";"(Syntax not available)";"(Description not available)"
"EaxListenerDecayTime";"(Syntax not available)";"(Description not available)"
"EaxListenerDecayTime_i";"(Syntax not available)";"(Description not available)"
"EaxListenerDecayTimeHfRatio";"(Syntax not available)";"(Description not available)"
"EaxListenerDecayTimeHfRatio_i";"(Syntax not available)";"(Description not available)"
"EaxListenerEnvDiffusion";"(Syntax not available)";"(Description not available)"
"EaxListenerEnvDiffusion_i";"(Syntax not available)";"(Description not available)"
"EaxListenerEnvironment";"(Syntax not available)";"(Description not available)"
"EaxListenerEnvironment_i";"(Syntax not available)";"(Description not available)"
"EaxListenerEnvSize";"(Syntax not available)";"(Description not available)"
"EaxListenerEnvSize_i";"(Syntax not available)";"(Description not available)"
"EaxListenerFlags";"(Syntax not available)";"(Description not available)"
"EaxListenerFlags_i";"(Syntax not available)";"(Description not available)"
"EaxListenerReflections";"(Syntax not available)";"(Description not available)"
"EaxListenerReflections_i";"(Syntax not available)";"(Description not available)"
"EaxListenerReflectionsDelay";"(Syntax not available)";"(Description not available)"
"EaxListenerReflectionsDelay_i";"(Syntax not available)";"(Description not available)"
"EaxListenerReverb";"(Syntax not available)";"(Description not available)"
"EaxListenerReverb_i";"(Syntax not available)";"(Description not available)"
"EaxListenerReverbDelay";"(Syntax not available)";"(Description not available)"
"EaxListenerReverbDelay_i";"(Syntax not available)";"(Description not available)"
"EaxListenerRoom";"(Syntax not available)";"(Description not available)"
"EaxListenerRoom_i";"(Syntax not available)";"(Description not available)"
"EaxListenerRoomHF";"(Syntax not available)";"(Description not available)"
"EaxListenerRoomHF_i";"(Syntax not available)";"(Description not available)"
"EaxListenerRoomRolloff";"(Syntax not available)";"(Description not available)"
"EaxListenerRoomRolloff_i";"(Syntax not available)";"(Description not available)"
"EaxSourceAirAbsorption";"(Syntax not available)";"(Description not available)"
"EaxSourceAirAbsorption_i";"(Syntax not available)";"(Description not available)"
"EaxsourceAll";"(Syntax not available)";"(Description not available)"
"EaxSourceAll_i";"(Syntax not available)";"(Description not available)"
"EaxSourceDirect";"(Syntax not available)";"(Description not available)"
"EaxSourceDirect_i";"(Syntax not available)";"(Description not available)"
"EaxSourceDirectHF";"(Syntax not available)";"(Description not available)"
"EaxSourceDirectHF_i";"(Syntax not available)";"(Description not available)"
"EaxSourceFlags";"(Syntax not available)";"(Description not available)"
"EaxSourceFlags_i";"(Syntax not available)";"(Description not available)"
"EaxSourceObstruction";"(Syntax not available)";"(Description not available)"
"EaxSourceObstruction_i";"(Syntax not available)";"(Description not available)"
"EaxSourceObstructionRatio";"(Syntax not available)";"(Description not available)"
"EaxSourceObstructionRatio_i";"(Syntax not available)";"(Description not available)"
"EaxSourceOcclusion";"(Syntax not available)";"(Description not available)"
"EaxSourceOcclusion_i";"(Syntax not available)";"(Description not available)"
"EaxSourceOcclusionRatio";"(Syntax not available)";"(Description not available)"
"EaxSourceOcclusionRatio_i";"(Syntax not available)";"(Description not available)"
"EaxSourceOcclusionRoomRatio";"(Syntax not available)";"(Description not available)"
"EaxSourceOcclusionRoomRatio_i";"(Syntax not available)";"(Description not available)"
"EaxSourceOutsideVolumeHF";"(Syntax not available)";"(Description not available)"
"EaxSourceOutsideVolumeHF_i";"(Syntax not available)";"(Description not available)"
"EaxSourceRoom";"(Syntax not available)";"(Description not available)"
"EaxSourceRoom_i";"(Syntax not available)";"(Description not available)"
"EaxSourceRoomHF";"(Syntax not available)";"(Description not available)"
"EaxSourceRoomHF_i";"(Syntax not available)";"(Description not available)"
"EaxSourceRoomRolloff";"(Syntax not available)";"(Description not available)"
"EaxSourceRoomRolloff_i";"(Syntax not available)";"(Description not available)"
"else";"[else]";"a block of code when an "if...then" condition is false."
"elseif";"[elseif]";"another "if...then" condition when a "if...then" condition is false."
"endif";"[endif]";"a block of code that begins with an "if...then" statement."
"endin";"[endin]";"the current instrument block."
"endop";"[endop]";"the end of an user-defined opcode block."
"envlpx";"ares [envlpx] xamp, irise, idur, idec, ifn, iatss, iatdec [, ixmod]";"an envelope consisting of 3 segments."
"envlpxr";"ares [envlpxr] xamp, irise, idec, ifn, iatss, iatdec [, ixmod] [,irind]";"envlpx opcode with a final release segment."
"event";"[event] "scorechar", kinsnum, kdelay, kdur, [, kp4] [, kp5] [, ...]";"a score event from an instrument."
"event_i";"[event_i] "scorechar", iinsnum, idelay, idur, [, ip4] [, ip5] [, ...]";"a score event from an instrument."
"exitnow";"[exitnow]";"csound as fast as possible, with no cleaning up."
"exp";"[exp](x) (no rate restriction)";"e raised to the x-th power."
"expcurve";"kout [expcurve] kindex, ksteepness";"opcode implements a formula for generating a normalised exponential curve in range 0 - 1. It is based on the Max / MSP work of Eric Singer (c) 1994."
"expon";"ares [expon] ia, idur1, ib";"an exponential curve between specified points."
"exprand";"ares [exprand] krange";"distribution random number generator (positive values only)."
"expseg";"ares [expseg] ia, idur1, ib [, idur2] [, ic] [...]";"a series of exponential segments between specified points."
"expsega";"ares [expsega] ia, idur1, ib [, idur2] [, ic] [...]";"exponential segment generator operating at a-rate."
"expsegr";"ares [expsegr] ia, idur1, ib [, idur2] [, ic] [...], irel, iz";"a series of exponential segments between specified points including a release segment."
"ficlose";"[ficlose] ihandle";"a previously opened file."
"filelen";"ir [filelen] ifilcod, [iallowraw]";"the length of a sound file."
"filenchnls";"ir [filenchnls] ifilcod";"the number of channels in a sound file."
"filepeak";"ir [filepeak] ifilcod [, ichnl]";"the peak absolute value of a sound file."
"filesr";"ir [filesr] ifilcod";"the sample rate of a sound file."
"filter2";"ares [filter2] asig, iM, iN, ib0, ib1, ..., ibM, ia1, ia2, ..., iaN";"filtering using a transposed form-II digital filter lattice with no time-varying control."
"fin";"[fin] ifilename, iskipframes, iformat, ain1 [, ain2] [, ain3] [,...]";"signals from a file at a-rate."
"fini";"[fini] ifilename, iskipframes, iformat, in1 [, in2] [, in3] [, ...]";"signals from a file at i-rate."
"fink";"[fink] ifilename, iskipframes, iformat, kin1 [, kin2] [, kin3] [,...]";"signals from a file at k-rate."
"fiopen";"ihandle [fiopen] ifilename, imode";"a file in a specific mode."
"flanger";"ares [flanger] asig, adel, kfeedback [, imaxd]";"user controlled flanger."
"flashtxt";"[flashtxt]iwhich, String";"text to be displayed from instruments like sliders"
"Flbox";"ihandle [FLbox] "label", itype, ifont, isize, iwidth, iheight, ix, iy [, image]";"FLTK widget that displays text inside of a box."
"FLbox";"ihandle [FLbox] "label", itype, ifont, isize, iwidth, iheight, ix, iy [, image]";"FLTK widget that displays text inside of a box."
"FLbutBank";"kout, ihandle [FLbutBank] itype, inumx, inumy, iwidth, iheight, ix, iy, iopcode [, kp1] [, kp2] [, kp3] [, kp4] [, kp5] [....] [, kpN]";"FLTK widget opcode that creates a bank of buttons."
"FLbutton";"kout, ihandle [FLbutton] "label", ion, ioff, itype, iwidth, iheight, ix, iy, iopcode [, kp1] [, kp2] [, kp3] [, kp4] [, kp5] [....] [, kpN]";"FLTK widget opcode that creates a button."
"FLcloseButton";"ihandle [FLcloseButton] "label", iwidth, iheight, ix, iy";"FLTK widget opcode that creates a button that will close the panelwindow it is a part of."
"FLcolor";"[FLcolor] ired, igreen, iblue [, ired2, igreen2, iblue2]";"FLTK opcode that sets the primary colors."
"FLcolor2";"[FLcolor2] ired, igreen, iblue";"FLTK opcode that sets the secondary (selection) color."
"FLcount";"kout, ihandle [FLcount] "label", imin, imax, istep1, istep2, itype, iwidth, iheight, ix, iy, iopcode [, kp1] [, kp2] [, kp3] [...] [, kpN]";"FLTK widget opcode that creates a counter."
"FLexecButton";"ihandle [FLexecButton] "command", iwidth, iheight, ix, iy";"FLTK widget opcode that creates a button that executes a command."
"FLgetsnap";"inumsnap [FLgetsnap] index";"a previously stored FLTK snapshot."
"FLgroup";"[FLgroup] "label", iwidth, iheight, ix, iy [, iborder] [, image]";"FLTK container opcode that groups child widgets."
"FLgroup_end";"(Syntax not available)";"the end of a group of FLTK child widgets."
"FLgroupEnd";"[FLgroupEnd]";"the end of a group of FLTK child widgets."
"FLhide";"[FLhide] ihandle";"the target FLTK widget."
"FLjoy";"koutx, kouty, ihandlex, ihandley [FLjoy] "label", iminx, imaxx, iminy, imaxy, iexpx, iexpy, idispx, idispy, iwidth, iheight, ix, iy";"FLTK opcode that acts like a joystick."
"FLkeyb";"kout [FLkeyb] kparam1 [, kparam2] ... [, kparamN]";"no documentation exists. May be deprecated in future versions."
"FLknob";"kout, ihandle [FLknob] "label", imin, imax, iexp, itype, idisp, iwidth, ix, iy [, icursorsize]";"FLTK widget opcode that creates a knob."
"FLlabel";"[FLlabel] isize, ifont, ialign, ired, igreen, iblue";"FLTK opcode that modifies the appearance of a text label."
"FLloadsnap";"[FLloadsnap] "filename"";"all snapshots into the memory bank of the current orchestra."
"flooper";"asig [flooper] kamp, kpitch, istart, idur, ifad, ifn";"crossfading looper."
"flooper2";"asig [flooper2] kamp, kpitch, kloopstart, kloopend, kcrossfade, ifn [, istart, imode, ifenv, iskip]";"crossfading looper."
"flooper3";"(Syntax not available)";"(Description not available)"
"floor";"[floor](x) (init-, control-, or audio-rate arg allowed)";"the largest integer not greater than"
"FLpack";"[FLpack] iwidth, iheight, ix, iy, itype, ispace, iborder";"the functionality of compressing and aligning FLTK widgets."
"FLpack_end";"(Syntax not available)";"the end of a group of compressed or aligned FLTK widgets."
"FLpackEnd";"[FLpackEnd]";"the end of a group of compressed or aligned FLTK widgets."
"FLpanel";"[FLpanel] "label", iwidth, iheight [, ix] [, iy] [, iborder] [, ikbdcapture]";"a window that contains FLTK widgets."
"FLpanel_end";"(Syntax not available)";"the end of a group of FLTK widgets contained inside of a window (panel)."
"FLpanelEnd";"[FLpanelEnd]";"the end of a group of FLTK widgets contained inside of a window (panel)."
"FLprintk";"[FLprintk] itime, kval, idisp";"FLTK opcode that prints a k-rate value at specified intervals."
"FLprintk2";"[FLprintk2] kval, idisp";"FLTK opcode that prints a new value every time a control-rate variable changes."
"FLroller";"kout, ihandle [FLroller] "label", imin, imax, istep, iexp, itype, idisp, iwidth, iheight, ix, iy";"FLTK widget that creates a transversal knob."
"FLrun";"[FLrun]";"the FLTK widget thread."
"FLsavesnap";"[FLsavesnap] "filename"";"all snapshots currently created into a file."
"FLscroll";"[FLscroll] iwidth, iheight [, ix] [, iy]";"FLTK opcode that adds scroll bars to an area."
"FLscroll_end";"(Syntax not available)";"FLTK opcode that marks the end of an area with scrollbars."
"FLscrollEnd";"[FLscrollEnd]";"FLTK opcode that marks the end of an area with scrollbars."
"FLsetAlign";"[FLsetAlign] ialign, ihandle";"the text alignment of a label of a FLTK widget."
"FLsetBox";"[FLsetBox] itype, ihandle";"the appearance of a box surrounding a FLTK widget."
"FLsetColor";"[FLsetColor] ired, igreen, iblue, ihandle";"the primary color of a FLTK widget."
"FLsetColor2";"[FLsetColor2] ired, igreen, iblue, ihandle";"the secondary (or selection) color of a FLTK widget."
"FLsetFont";"[FLsetFont] ifont, ihandle";"the font type of a FLTK widget."
"FLsetImage";"(Syntax not available)";"(Description not available)"
"FLsetOverlay";"(Syntax not available)";"(Description not available)"
"FLsetPosition";"[FLsetPosition] ix, iy, ihandle";"the position of a FLTK widget."
"FLsetSize";"[FLsetSize] iwidth, iheight, ihandle";"a FLTK widget."
